ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20200012493,28-06-2020,14.31.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,60,-38.61499,145.585337
T20200013197,01-07-2020,6.30.00,Wednesday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,50,-38.46364,145.238984
T20200014316,01-07-2020,21.00.00,Wednesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.330127,145.548495
T20200014411,29-07-2020,10.45.00,Wednesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.528623,145.720016
T20200014487,31-07-2020,11.10.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.566768,145.561268
T20200014556,31-07-2020,18.50.00,Friday,8,No collision and no object struck,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.470128,145.4582
T20200014571,01-08-2020,19.50.00,Saturday,2,Struck Pedestrian,3,Dark Street lights on,BASS COAST,Not at intersection,50,-38.607022,145.588704
T20200014649,03-08-2020,8.15.00,Monday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Not at intersection,100,-38.470133,145.458235
T20200015080,12-08-2020,5.30.00,Wednesday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.586409,145.617278
T20200015261,06-08-2020,14.27.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.520838,145.37541
T20200015459,21-08-2020,8.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.596695,145.592209
T20200015718,26-08-2020,16.35.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.427034,145.467309
