ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20220012937,06-06-2022,5.25.00,Monday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,60,-38.606317,145.588583
T20220013330,13-06-2022,7.10.00,Monday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.471695,145.542598
T20220013836,19-06-2022,12.10.00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,80,-38.670885,145.65632
T20220013837,19-06-2022,13.53.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.605402,145.597669
T20220013934,20-06-2022,16.38.00,Monday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.542838,145.459984
T20220014526,04-06-2022,14.00.00,Saturday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,50,-38.628161,145.730756
T20220014814,01-07-2022,22.00.00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.521416,145.542232
T20220015244,07-07-2022,16.49.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.592932,145.589524
T20220015370,09-07-2022,13.00.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.509146,145.293858
T20220015495,11-07-2022,10.39.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,60,-38.573764,145.587222
T20220015875,15-07-2022,19.12.00,Friday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,80,-38.472278,145.187447
T20220016207,20-07-2022,10.10.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,50,-38.644754,145.711416
T20220016301,21-07-2022,13.20.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,60,-38.514671,145.35047
T20220016778,27-07-2022,10.41.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.580464,145.629361
T20220016804,26-07-2022,17.16.00,Tuesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,50,-38.594859,145.597886
T20220017659,07-08-2022,12.32.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.485908,145.645843
T20220017953,11-08-2022,5.00.00,Thursday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,T intersection,50,-38.410789,145.427526
T20220018174,13-08-2022,14.34.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.514674,145.66448
T20220020318,08-09-2022,9.40.00,Thursday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,999,-38.458891,145.54463
T20220020740,13-09-2022,9.15.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,999,-38.453462,145.238973
T20220021098,18-09-2022,7.17.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.601845,145.599924
T20220022263,03-10-2022,15.10.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.607515,145.607125
T20220023102,14-10-2022,9.00.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.430558,145.502441
T20220023120,14-10-2022,13.04.00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,50,-38.453228,145.238975
T20220023128,14-10-2022,14.20.00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.611456,145.632844
T20220023323,01-10-2022,11.50.00,Saturday,4,Collision with a fixed object,2,Unk.,BASS COAST,Not at intersection,999,-38.51359,145.595818
T20220023849,23-10-2022,12.25.00,Sunday,2,Struck Pedestrian,3,Unk.,BASS COAST,T intersection,888,-38.590701,145.580507
T20220026592,23-11-2022,16.48.00,Wednesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.532293,145.559572
T20220026682,24-11-2022,22.00.00,Thursday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Cross intersection,80,-38.49657,145.220132
T20220026860,27-11-2022,11.25.00,Sunday,1,Collision with vehicle,1,Day,BASS COAST,Not at intersection,80,-38.495807,145.270997
T20220026975,07-10-2022,18.15.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.608453,145.591814
T20220027608,05-12-2022,15.20.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,40,-38.490134,145.26549
T20220027661,25-11-2022,7.25.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.472201,145.474807
T20220028049,10-12-2022,11.22.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,60,-38.452259,145.234481
T20220028370,13-12-2022,21.53.00,Tuesday,6,Vehicle overturned (no collision),2,Dark No street lights,BASS COAST,Not at intersection,80,-38.547942,145.499657
T20220028793,18-12-2022,12.00.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.452078,145.443238
T20220029106,21-12-2022,10.45.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.601901,145.599931
T20220029118,18-12-2022,12.00.00,Sunday,8,No collision and no object struck,2,Day,BASS COAST,Not at intersection,999,-38.451007,145.656036
T20220029427,24-12-2022,21.15.00,Saturday,1,Collision with vehicle,1,Unk.,BASS COAST,Multiple intersection,80,-38.467885,145.239
T20220029475,25-12-2022,18.50.00,Sunday,1,Collision with vehicle,1,Day,BASS COAST,Cross intersection,80,-38.463446,145.201431
T20220029496,26-12-2022,11.40.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.487488,145.647502
T20220029708,29-12-2022,8.20.00,Thursday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Not at intersection,100,-38.519566,145.689512
T20220029812,30-12-2022,20.00.00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,80,-38.414255,145.561145
T20220029827,31-12-2022,9.07.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,80,-38.407583,145.530382
T20230000026,01-01-2023,9.59.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.61757,145.722933
T20230000037,01-01-2023,12.40.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.46364,145.238984
T20230000074,02-01-2023,12.21.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,80,-38.46361,145.20143
T20230000152,03-01-2023,15.00.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.605804,145.593721
T20230000480,08-01-2023,8.45.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.45233,145.234818
T20230000548,01-01-2023,12.50.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.626947,145.722176
T20230000611,09-01-2023,23.00.00,Monday,8,No collision and no object struck,2,Dark Street lights on,BASS COAST,Not at intersection,50,-38.527896,145.336117
T20230000709,05-01-2023,12.30.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.544442,145.461404
T20230000810,21-12-2022,7.45.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.495213,145.617283
T20230000834,12-01-2023,14.58.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.508002,145.29165
T20230001299,18-01-2023,12.40.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.563061,145.532873
T20230001364,19-01-2023,7.45.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.584053,145.816251
T20230001389,14-01-2023,12.20.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.521538,145.381103
T20230001641,01-11-2022,1.00.00,Tuesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,110,-38.574607,145.707264
T20230002207,27-01-2023,20.20.00,Friday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.566911,145.561493
T20230002451,31-01-2023,17.00.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.515317,145.311788
T20230002870,05-02-2023,15.20.00,Sunday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,60,-38.456156,145.237134
T20230003648,15-02-2023,3.20.00,Wednesday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.578572,145.648393
T20230003703,15-02-2023,16.25.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.576088,145.59537
T20230004249,21-02-2023,14.38.00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,888,-38.600793,145.590548
T20230004502,23-02-2023,19.15.00,Thursday,5,collision with some other object,2,Unk.,BASS COAST,Not at intersection,100,-38.617089,145.740504
T20230004506,27-01-2023,11.30.00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,70,-38.528978,145.559095
T20230004725,26-02-2023,23.53.00,Sunday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.522163,145.403297
T20230004855,28-02-2023,5.45.00,Tuesday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,100,-38.566746,145.561234
T20230005267,18-02-2023,12.15.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,80,-38.482091,145.220135
T20230005412,08-01-2023,16.00.00,Sunday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,40,-38.635183,145.731104
T20230005580,07-03-2023,10.00.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,80,-38.496697,145.239033
T20230006016,12-03-2023,21.39.00,Sunday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,80,-38.496643,145.225569
T20230006082,27-02-2023,15.30.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.412076,145.52715
T20230006470,17-03-2023,20.25.00,Friday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,T intersection,100,-38.478825,145.470149
T20230006607,20-03-2023,16.40.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.440593,145.48363
T20230006875,12-11-2022,11.00.00,Saturday,1,Collision with vehicle,3,Unk.,BASS COAST,T intersection,60,-38.520528,145.373059
T20230008404,10-04-2023,10.05.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.472131,145.474846
T20230008443,10-04-2023,21.58.00,Monday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,80,-38.411318,145.527665
T20230008765,14-04-2023,14.56.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.606911,145.582708
T20230009308,21-04-2023,13.33.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,80,-38.472278,145.187447
T20230009395,22-04-2023,14.15.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.473201,145.238998
T20230009734,26-04-2023,15.55.00,Wednesday,4,Collision with a fixed object,1,Day,BASS COAST,Not at intersection,100,-38.499119,145.524251
T20230010675,06-05-2023,16.14.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.432772,145.497182
T20230010698,07-05-2023,15.09.00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.454429,145.594554
T20230011480,17-05-2023,6.55.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Y intersection,60,-38.605084,145.60118
T20230011860,21-05-2023,16.43.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,50,-38.51351,145.359727
T20230012422,28-05-2023,3.10.00,Sunday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,T intersection,50,-38.637885,145.72436
T20230012491,29-05-2023,6.57.00,Monday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,60,-38.564112,145.55249
T20230013304,07-06-2023,17.30.00,Wednesday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.540048,145.540598
T20230013431,09-06-2023,15.29.00,Friday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,40,-38.605823,145.593535
T20230013542,10-06-2023,19.45.00,Saturday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,T intersection,100,-38.309356,145.541809
T20230014356,19-01-2023,11.30.00,Thursday,1,Collision with vehicle,3,Unk.,BASS COAST,Cross intersection,999,-38.514661,145.353464
T20230014633,23-06-2023,16.30.00,Friday,4,Collision with a fixed object,3,Unk.,BASS COAST,Not at intersection,80,-38.459189,145.600572
T20230014872,26-06-2023,16.22.00,Monday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.523858,145.415654
T20230014961,06-06-2023,8.00.00,Tuesday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Cross intersection,40,-38.606998,145.593889
T20230015061,28-06-2023,21.35.00,Wednesday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Not at intersection,999,-38.521278,145.396662
T20230015710,07-07-2023,5.45.00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,80,-38.496601,145.160436
T20230016242,16-05-2023,10.10.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.452325,145.238981
T20230016916,20-07-2023,19.18.00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.631167,145.603648
T20230021936,07-03-2023,12.00.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,50,-38.602644,145.592071
